0,1,2,3,4,5,6,7,8,9
7.8309174,-6.4801598,2.4603925,-5.7242284,5.996175,0.22402088,4.838906,9.4517765,-3.3859465,-3.260768
6.0431504,-3.72169,3.448259,-3.514995,4.1415915,-1.4465879,4.41297,7.3638935,-3.248129,-3.2358491
6.535708,-6.893657,-1.1618743,-6.7446127,5.9716735,3.0853364,1.4504077,6.898971,-1.9927887,-0.46932822
6.837256,-6.615197,-0.40504327,-6.4142747,5.877135,2.4564705,2.1146517,7.2838936,-2.3426723,-0.9889253
6.386847,-4.422035,3.2362902,-3.9081366,4.426145,-1.0372355,4.747691,7.9274945,-3.268714,-3.4506855
4.560992,-2.3704646,3.2013304,-2.3210683,2.963375,-1.7611749,3.667256,5.647795,-2.7274027,-2.8064568
6.6655393,-4.2010455,3.6167455,-3.9516513,4.589988,-1.3868748,4.77152,8.074248,-3.5086741,-3.4740548
7.0515614,-5.805958,2.9107769,-4.808844,5.33963,-0.2945416,5.135004,9.0371685,-3.210662,-3.4988897
7.1322885,-5.5587893,3.3378143,-4.623659,5.1819816,-0.76845723,5.4075475,9.104118,-3.4265678,-3.7413676
6.7435565,-5.5760994,3.0245802,-4.55825,5.100325,-0.5424921,5.030867,8.643922,-3.0984042,-3.38942
4.226793,-3.0241673,2.2626064,-2.7363548,3.1917942,-0.8874752,3.0311065,5.4722786,-2.2623858,-2.1127563
6.112661,-3.8913958,3.9482567,-3.332375,4.0900273,-1.7387851,5.095316,7.891257,-3.390205,-3.7365315
5.974819,-3.3093483,4.3758154,-2.9340267,3.7973862,-2.345106,5.2108984,7.7139497,-3.4889808,-3.952267
5.8667855,-3.620567,3.3251648,-3.4366007,3.962707,-1.3808733,4.29037,7.1372643,-3.1746411,-3.2197993
6.655269,-5.5041275,2.595079,-4.637478,5.0658197,-0.15579988,4.692672,8.450593,-2.9899807,-3.250838
7.188648,-5.3262777,3.4624698,-4.523681,5.123713,-0.91088146,5.407927,9.065864,-3.5149484,-3.8050122
7.51181,-5.920231,2.9964705,-5.088502,5.5108423,-0.40251693,5.2337728,9.286038,-3.4577959,-3.5887697
6.9509807,-5.7575717,2.7711005,-4.777303,5.2511044,-0.24376495,5.012779,8.901993,-3.1415696,-3.4336035
6.614332,-4.5163784,3.6513212,-3.9026854,4.5552115,-1.3493768,5.1600513,8.361961,-3.424126,-3.7365398
6.7196603,-5.5579715,2.7956884,-4.587196,5.101021,-0.3070209,4.8976235,8.632166,-3.0636551,-3.34008
7.0819917,-4.6353292,3.84725,-4.249067,4.8254457,-1.4835776,5.2365828,8.69192,-3.71604,-3.886699
6.9439974,-5.550666,3.078193,-4.6419396,5.1184506,-0.5623303,5.12295,8.800681,-3.303639,-3.5380812
5.862997,-3.6357193,3.2098908,-3.48869,4.004939,-1.2428207,4.1259255,7.028017,-3.1700766,-3.0508401
6.7817607,-4.38531,3.844072,-3.9515328,4.5746484,-1.4686413,5.160779,8.378112,-3.640084,-3.797152
7.0691333,-5.3130684,3.4047427,-4.4859414,5.084736,-0.8472429,5.322799,8.950028,-3.462762,-3.72366
6.8812747,-5.7024965,2.827713,-4.709293,5.2171288,-0.27012512,4.9767337,8.772593,-3.1361225,-3.383667
7.0006623,-4.696258,3.9948294,-4.074401,4.783732,-1.5542375,5.517923,8.851832,-3.6671913,-4.0074015
6.3648057,-4.9159946,3.1985245,-4.073902,4.694036,-0.8857038,4.8749294,8.1957855,-3.072117,-3.3526795
6.919619,-4.742833,3.6799426,-4.188986,4.8269076,-1.2280177,5.1706824,8.595959,-3.5663333,-3.701734
5.2983794,-2.7548618,4.1093044,-2.519612,3.3370683,-2.2994716,4.5956326,6.7495656,-3.2038414,-3.5285006
5.1336465,-4.3420205,1.9667536,-3.6221144,3.9391248,-0.032607414,3.61077,6.5743594,-2.4022508,-2.4778209
7.2826953,-5.835241,3.1195433,-4.8796077,5.37651,-0.519323,5.355279,9.216556,-3.423505,-3.6656501
7.104053,-5.1952515,3.2904065,-4.556562,5.081095,-0.8605227,5.099566,8.797239,-3.4640145,-3.6042917
5.351584,-3.3370388,2.7467427,-3.220052,3.6391442,-0.9861273,3.783783,6.4153113,-2.902898,-2.831354
4.6611876,-3.2620783,1.8668463,-3.2625015,3.4773407,-0.46516192,2.6501918,5.3575053,-2.3290045,-1.926159
6.1260576,-3.4960551,4.029251,-3.2344167,3.9415548,-1.9919065,4.984176,7.6608777,-3.4668958,-3.795916
7.456561,-5.4495554,3.7607446,-4.5971866,5.2634773,-1.1066008,5.751174,9.464054,-3.6890416,-4.054324
7.4150853,-6.017714,3.037388,-5.047245,5.511893,-0.3940137,5.352618,9.327528,-3.4290538,-3.6293054
6.7692018,-6.1841993,2.3756294,-5.035549,5.4678926,0.22232836,4.7930326,8.808255,-2.837592,-3.0702987
7.2537923,-6.138684,3.088562,-5.0549927,5.62891,-0.30202508,5.4407845,9.462589,-3.2789602,-3.622327
-0.7286157,-7.466418,-8.203329,-5.416267,4.6722956,7.3915634,-4.4243555,1.0047557,4.088459,4.805282
